reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
99cf9f40-a0bc-4160-a76c-456b5b04704f,D Rebel,Please introduce translate option job postings,2,0,,2023-05-07 11:26:13,,
5e859b34-3bba-426a-a3d9-9ceff8eb3d18,Tehmina Malik,P665i,4,0,1.0.0,2023-05-07 11:02:28,,
69f43172-6483-40bb-aafc-66040a69bb74,MD RIPON,¥♧¥¥¥¥¥¥¥¥¥¥999¥¥¥¥¥¥¥¥₩¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥9¥¥¥♧9₩9₩9₩899¥¥¥¥¥¥¥¥¥¥¥¥9¥¥¥♧♧♧♧¥¥¥¥¥◇◇◇◇◇◇◇♧₩,2,0,1.0.0,2023-05-07 10:39:26,,
77443171-b6d3-483d-a1a5-47bf447c49ee,Muneef Babiker,Very good networking also informative,5,0,4.1.815.1,2023-05-07 10:14:50,,
5c53ace2-aa89-4035-9dcf-8e87eba8418d,Mdsahed Anowar,A wonderful app,5,0,4.1.815.1,2023-05-07 10:13:56,,
e63c0995-b6bc-4c51-8a0a-a9021444430a,Jessica Harden,Overall great I turned notifications way many,3,0,,2023-05-07 10:08:57,,
58781b05-12b6-4dd6-ae04-6d614c506f7a,Shakil 24,God job,5,0,4.1.811.1,2023-05-07 10:07:02,,
fc53743b-57da-4b1f-957b-9e76be105c7c,PRIYANSH SHAH,Not send message Attachment Goodle drive file Not able access google drive documents sending personally messages LinkedIn,1,0,4.1.815.1,2023-05-07 09:56:22,"Thanks for leaving your review of the LinkedIn app. We're sorry to hear you're not enjoying it. If you have any further feedback you'd like to share with us, please email us at https://lnkd.in/GP Thanks! - TC",2023-05-08 07:15:56
074e4a65-da1b-4fde-88d6-b801390e8262,Brenda Pickern,Qlink Specter tablet cable modemmedicalwifi demands interference As surrounding businesses downloading running ing tech crisscross Then right middle 11 supper storms made bumps road non walking medical systems person loves books uses hire connect world But got,4,0,4.1.815.1,2023-05-07 09:19:57,,
00052619-53a8-4296-aa2a-c664f97638ad,Thando Gcingca,Wonderful way reconnect old colleagues see happening professional landscape fields interest Havent used fullest potential definitely valuable,5,0,4.1.710,2023-05-07 09:08:58,,
902a8a8d-b67f-4ede-8d1f-2aafb075797e,Magala Hadad,Its good nice,5,0,4.1.815.1,2023-05-07 08:55:43,,
f1640120-ea50-43c1-9684-bd62f4b4400a,Romulo Correa Ruiz,Excelente,5,0,4.1.815.1,2023-05-07 08:50:39,Hola Rómulo. Gracias por tomarse el tiempo para dejarnos un comentario. Nos complace saber que la aplicación móvil de LinkedIn es excelente. ¡Esperamos que tengas un gran resto de tu día! -AG,2023-05-07 09:37:45
533519ec-3d3f-4faa-9dd2-c8c943310e89,Richard Kemp,S gz You × fs7 0sv×,4,0,4.1.810,2023-05-07 08:16:18,,
